state,key,svn,english,translation
UPDATED,tutorial_stargatewindowhighlightcomponent,3257,Each component you need to manufacture is on the right.\nPlacing your mouse over a component's icon shows how to produce it.,您需要生產的每個組件都在右側。\n將鼠標懸停在組件圖標上，即可顯示該組件的生產方式。
PREVIOUS,tutorial_stargatewindowhighlightcomponent,2448,Each component you need to manufacture is on the left.\nPlacing your mouse over a component's icon shows how to produce it.,您需要生產的每個組件都在左側。\n將鼠標懸停在組件圖標上，即可顯示該組件的生產方式。
CURRENT,logistics_tooltip_skiporder,3248,Skip currently executing order,跳過當前執行的訂單
CURRENT,logistics_tooltip_loop,3248,Loop execution,循環執行
CURRENT,thefinalstand_artemis1,3248,Hello again Captain!,又見面了，艦長！
CURRENT,thefinalstand_artemis2,3248,"After some careful analysis of the Stargate's blueprints, I have found the backdoor that the late Alexander James Elistar has left you.",經過對星際之門藍圖的仔細分析，我找到了已故的亞歷山大-詹姆斯-埃利斯塔留給你們的後門。
CURRENT,thefinalstand_artemis3,3248,You will use this backdoor to upload a small virus that I have written to their command centre within the HQ. It will disable the station's offensive capabilities and place itself under your command.,你將利用這個後門，把我編寫的小病毒上傳到總部的指揮中心。它將使空間站失去攻擊能力，並將自己置於你的指揮之下。
CURRENT,thefinalstand_boss_artemis1,3248,"Captain, I can route a signal to their powergrid and overload their generators, tell me when to trigger it!",艦長，我可以向他們的電網發送信號，讓他們的發電機過載，告訴我什麼時候觸發！
CURRENT,thefinalstand_end_objective_leave,3248,Leave the HQ,離開總部
CURRENT,thefinalstand_harken2,3248,"The Andromeda Project has moved their HQ and all key personell into an unknown location in the new sector, where we believe they are controlling the Stargate.",仙女座計劃已將他們的總部和所有重要人員轉移到新區的一個未知地點，我們相信他們在那裏控制着星際之門。
CURRENT,thefinalstand_harken3,3248,"My plan is to use our fleets to take control of the HQ by force. Any and all damage to the HQ should be avoided, many innocent lives are on-board and the loss of life from destroying it would be far too great.\nI have devised a plan with an old friend of yours that should minimise casualties...",我的計劃是用我們的艦隊武力控制總部。應該避免對總部造成任何破壞，因爲艦上有許多無辜的生命，摧毀總部會造成巨大的人員傷亡。\n，我已經和你的一位老朋友制定了一個計劃，應該可以最大限度地減少人員傷亡......
CURRENT,thefinalstand_harken4,3248,"While you neutralise the HQ, my fleet will fight off the Andromeda Project navy. Once the battle is over, I will take control of the HQ and arrest everyone involved. Their conglomerate will be dismantled.",在你們消滅總部的同時，我的艦隊將擊退仙女座計劃的海軍。一旦戰鬥結束，我將控制總部 並逮捕所有相關人員他們的集團將被摧毀
CURRENT,thefinalstand_harken5,3248,The Stargate will fall back into your sole control. I've marked an allied shipyard on your map. I'll hide out there in the mean-time.,星際之門將重新歸你控制我在你的地圖上標出了一個盟軍造船廠 I've marked an allied shipyard on your map.這段時間我會躲在那裏 I'll hide out there in the mean time.
CURRENT,thefinalstand_harken6,3248,Meet me to discuss the plan further. Goodbye for now.,與我會面，進一步討論計劃。再見
CURRENT,thefinalstand_boss_harken2,3248,This is the Andromeda Navy's flagship! You should have access to its command centre from the HQ!,這是仙女座海軍的旗艦你可以從總部進入指揮中心！
CURRENT,industryend_message,3248,"Now the Andromeda HQ has been captured, Harken and the Intergalactic Security Council will dismantle the Andromeda Project conglomerate and regain control of the Stargate, for the benefit of all mankind.  A new chapter has begun, as mankind spreads beyond our home galaxy and into the future.",現在，仙女座總部已被佔領，哈肯和星際安全委員會將爲了全人類的利益，摧毀仙女座計劃集團，重新奪回星際之門的控制權。  新的篇章已經開啓，人類將走出銀河系，走向未來。
CURRENT,bravenewsector_part4_rep9,3244,Hello Captain. The newly completed Stargate has put the Andromeda Project in a powerful position to control the flow of resources and people between this galaxy and the Andromeda galaxy.,你好，艦長。新建成的星際之門使仙女座計劃處於有利地位，可以控制本星系和仙女座星系之間的資源和人員流動。
CURRENT,thefinalstand_battleprep_1,3244,"Hello Captain, it's good to see you. These are all of the ships I control in this sector, the rest are on the other side of the Stargate, unable to reach us.",你好，艦長，很高興見到你。這些是我在這個區域控制的所有飛船，其餘的都在星際之門的另一端，無法聯繫到我們。
CURRENT,thefinalstand_battle_rep1,3244,Commander Harken! I see that my first fleet has failed to deal with you. I suppose if I want something done properly I should do it myself.,哈肯指揮官看來我的第一支艦隊沒能對付你我想，如果我想把事情辦好，就應該親自動手。
CURRENT,newmainmenu_continue,3239,CONTINUE GAME,繼續遊戲
CURRENT,hud_ftlshipblockedfromftl,3239,Ship cannot enter hyperspace with your fleet,艦船無法隨艦隊進入超空間
CURRENT,hud_window_interstellarlogistics,3239,INTERSTELLAR LOGISTICS,星際物流
CURRENT,andromeda_travel,3239,ANDROMEDA JOURNEY,仙女座之旅
CURRENT,trade_autohireat,3239,HIRE BELOW,自動僱傭下限
CURRENT,trade_autosackat,3239,SACK ABOVE,自動解僱上限
CURRENT,trade_autoembarkat,3239,EMBARK BELOW,自動登艦下限
CURRENT,trade_autodisembarkat,3239,DISEMBARK BELOW,自動離艦下限
CURRENT,trade_tooltip_hire,3239,[LMB] Hire,[左鍵] 僱傭
CURRENT,trade_tooltip_embark,3239,[LMB] Embark,[左鍵] 登艦
CURRENT,trade_tooltip_disembark,3239,[LMB] Disembark,[左鍵] 離艦
CURRENT,trade_hiring,3239,Hiring *X,正在僱傭 *X
CURRENT,trade_embarking,3239,Embarking *X,正在登艦 *X
CURRENT,trade_disembarking,3239,Disembarking *X,正在離艦 *X
CURRENT,trade_order_hire_on_sell_screen,3239,(HIRE *X),(僱傭 *X)
CURRENT,trade_order_embark_on_sell_screen,3239,(EMBARK *X),(登艦 *X)
CURRENT,trade_order_sell_on_buy_screen,3239,(SELL *X),(出售 *X)
CURRENT,trade_order_sack_on_buy_screen,3239,(SACK *X),(解僱 *X)
CURRENT,trade_order_disembark_on_buy_screen,3239,(DISEMBARK *X),(離艦 *X)
CURRENT,trade_hire,3239,HIRE,僱傭
CURRENT,trade_embark,3239,EMBARK,登艦
CURRENT,trade_disembark,3239,DISEMBARK,離艦
CURRENT,techtree_node_title_atmosphericprocessing,3239,Atmospheric Processing,大氣處理
CURRENT,techtree_node_caption_atmosphericprocessing,3239,Unlocks schematics for hardware required to maintain a breathable atmosphere,解鎖維持可呼吸大氣所需的硬件原理圖
CURRENT,techtree_node_title_atmosphericprocessing2,3239,Atmospheric Processing 2,大氣處理 2
CURRENT,techtree_node_caption_atmosphericprocessing2,3239,Unlocks more schematics for hardware required to maintain a breathable atmosphere,解鎖更多維持可呼吸大氣所需的硬件原理圖
CURRENT,techtree_node_title_wasteprocessing,3239,Waste Processing,廢物處理
CURRENT,techtree_node_caption_wasteprocessing,3239,Unlocks schematics for hardware to capture and reprocess human waste,解鎖收集和再處理人類廢物的硬件原理圖
CURRENT,special_advancedlogistics,3239,Interstellar Logistics,星際物流
CURRENT,tactical_dockingassistant,3239,DOCKING ASSIST,停泊輔助系統
CURRENT,tactical_fleetformation,3239,FLEET FORMATION,艦隊編組
CURRENT,tactical_fleetcombat,3239,FLEET COMBAT AI,艦隊戰鬥 AI
CURRENT,tactical_on,3239,ON,開啓
CURRENT,tactical_off,3239,OFF,關閉
CURRENT,tactical_tooltip_dockingassistant,3239,"When enabled, the Docking Assistant will perform the final maneuovers required to dock your ship with another, once you are close enough.\n\nIt is recommended you disable Fleet Formation when attempting to dock.",啓用該功能後，一旦您的飛船與另一艘飛船靠得足夠近，對接助手就會執行對接所需的最後機動操作。\n\n建議您在嘗試對接時禁用艦隊編隊功能。
CURRENT,tactical_tooltip_fleetformation,3239,"When enabled, all of the fleet ships within a system will fly together in close formation, following the lead of whichever ship you are directly controlling.",啓用該功能後，系統內的所有艦隊飛船都將以緊密編隊的方式飛行，跟隨您直接控制的飛船前進。
CURRENT,tactical_tooltip_fleetcombat,3239,"When enabled, your other fleet ships will take care of themselves during combat, moving to optimal range and engaging as best they can.",啓用後，其他艦隊戰艦會在戰鬥中照顧好自己，移動到最佳射程並盡最大可能進行交戰。
CURRENT,tactical_tooltip_weapon,3239,[LMB] Select weapon\n[SHIFT-LMB] Select multiple weapons\n[RMB] Clear current target,[左鍵] 選擇武器\n[SHIFT-左鍵] 選擇多個武器\n[右鍵] 清除當前目標
CURRENT,tactical_tooltip_auto,3239,AUTO-TARGETTING\n[LMB] Enable auto-targetting\n[RMB] Disable auto-targetting,自動瞄準\n[左鍵] 啓用自動瞄準\n[右鍵] 禁用自動瞄準
CURRENT,logistics_tooltip_add,3239,[LMB] Add,[左鍵] 添加
CURRENT,logistics_tooltip_remove_rmb,3239,[RMB] Remove,[右鍵] 刪除
CURRENT,logistics_tooltip_cancel,3239,[RMB] Cancel,[右鍵] 取消
CURRENT,logistics_tooltip_shift,3239,[SHIFT] x5,[SHIFT] x5
CURRENT,logistics_tooltip_control,3239,[CTRL] x50,[CTRL] x50
CURRENT,advancedlogisticswindow_title,3239,INTERSTELLAR LOGISTICS,星際物流
CURRENT,logistics_system_select,3239,LOCATION,地點
CURRENT,logistics_create_order,3239,Create Order,創建訂單
CURRENT,logistics_loop,3239,Loop,循環
CURRENT,logistics_order_none,3239,Order Type,訂單類型
CURRENT,logistics_order_mine,3239,Mine,採礦
CURRENT,logistics_order_collect,3239,Collect Gas,收集氣體
CURRENT,logistics_order_buy,3239,Buy,購買
CURRENT,logistics_order_sell,3239,Sell,出售
CURRENT,logistics_order_transferto,3239,Transfer To,轉運至
CURRENT,logistics_order_transferfrom,3239,Transfer From,轉運自
CURRENT,logistics_condition_none,3239,Amount,數量
CURRENT,logistics_condition_quantity,3239,Quantity,數量
CURRENT,logistics_condition_stacks,3239,Stacks,堆疊
CURRENT,logistics_condition_containers,3239,Containers,容器
CURRENT,logistics_condition_allbut,3239,All But,保留
CURRENT,logistics_condition_storagefull,3239,Until Storage Full,直到存儲滿
CURRENT,logistics_condition_all,3239,All Available,全部可用
CURRENT,logistics_condition_time,3239,Minutes,分鐘
CURRENT,logistics_transferto_none,3239,DESTINATION SHIP,目標飛船
CURRENT,logistics_transferfrom_none,3239,SOURCE SHIP,來源飛船
CURRENT,logistics_item_none,3239,Select Item,選擇項目
CURRENT,logistics_stuck_default,3239,Orders stuck,訂單被卡住
CURRENT,logistics_stuck_invalidsystem,3239,System S*X does not exist,星系 S*X 不存在
CURRENT,logistics_stuck_invalidlayer,3239,Ship L*X does not exist,飛船 L*X 不存在
CURRENT,logistics_stuck_equipment,3239,L*X does not have a working R*Y,L*X 沒有可用的 R*Y
CURRENT,logistics_stuck_resources,3239,L*X does not have any R*Ys,L*X 沒有任何 R*Y
CURRENT,logistics_stuck_patches,3239,System S*X does not have any R*Y to mine,星系 S*X 沒有任何 R*Y 可供開採
CURRENT,logistics_stuck_gas,3239,System S*X does not have any R*Y to collect,星系 S*X 沒有任何 R*Y 可供收集
CURRENT,logistics_stuck_tradingpost,3239,System S*X does not have a trading post,星系 S*X 沒有貿易站
CURRENT,logistics_stuck_resourcestosell,3239,L*X does not have any R*Y to sell,L*X 沒有任何 R*Y 可供出售
CURRENT,logistics_stuck_stargate,3239,Stargate is not ready for jump,星際之門尚未做好跳躍準備
CURRENT,logistics_status_notrunning,3239,No order currently running,目前沒有訂單
CURRENT,logistics_status_travelling,3239,Travelling to system S*X,前往星系 S*X
CURRENT,logistics_status_mining,3239,Mined *X R*Y,已開採 *X R*Y
CURRENT,logistics_status_miningstacks,3239,(*X/*Y stacks),(*X/*Y 堆疊)
CURRENT,logistics_status_miningstacks1,3239,(*X stacks),(*X 堆疊)
CURRENT,logistics_status_collect,3239,Collected *X R*Y,已收集 *X R*Y
CURRENT,logistics_status_collectcontainers,3239,(*X/*Y containers),(*X/*Y 容器)
CURRENT,logistics_status_collectcontainers1,3239,(*X containers),(*X 容器)
CURRENT,logistics_status_transferto,3239,Transfering *X R*Y to L*Z,正在將 *X R*Y 轉運至 L*Z
CURRENT,logistics_status_transferfrom,3239,Transfering *X R*Y from L*Z,正在從 L*Z 轉運 *X R*Y
CURRENT,logistics_status_buy,3239,Bought *X R*Y for $*Z,以 $*Z 購買了 *X R*Y
CURRENT,logistics_status_sell,3239,Sold *X R*Y for $*Z,以 $*Z 出售了 *X R*Y
CURRENT,logistics_status_notlooping,3239,Finished execution (not looping),執行完畢（不循環）
CURRENT,logistics_status_time1,3239,in *X:*Y,剩餘 *X:*Y
CURRENT,logistics_status_time2,3239,in *X:0*Y,剩餘 *X:0*Y
CURRENT,logistics_status_time3,3239,in 0*X:*Y,剩餘 0*X:*Y
CURRENT,logistics_status_time4,3239,in 0*X:0*Y,剩餘 0*X:0*Y
CURRENT,order_advancedlogistics,3239,Interstellar Logistics,星際物流
CURRENT,mission_objective_done,3239,DONE,完成
CURRENT,alert_type_interstellarlogistics,3239,INTERSTELLAR LOGISTICS,星際物流
CURRENT,alert_type_interstellarlogistics_caption,3239,Orders stuck,訂單滯留
CURRENT,stargate_startandromedajump,3239,TEST ANDROMEDA JUMP,測試仙女座跳躍
CURRENT,stargate_power_tooltip,3239,POWER REQUIRED: *X MW,所需功率：*X MW
CURRENT,stargate_distance_travelled,3239,*X kly REMAINING,剩餘 *X 千光年
CURRENT,stargate_journey_completed,3239,*X% COMPLETED,已完成 *X%
CURRENT,stargate_sell,3239,SELL ALL (*X FOR *Y),全部出售 (*X 換取 *Y)
CURRENT,stargate_price_per_unit,3239,*X PER UNIT,單價 *X
CURRENT,stargate_total_price,3239,*X TOTAL,總計 *X
CURRENT,stargate_award_complete_title,3239,STARGATE COMPLETED,星際之門已建成
CURRENT,stargate_award_complete_subtitle,3239,All phases completed,所有階段均已完成
CURRENT,tutorial_radiationselectfriendly,3239,"First, select a friendly ship with a laser infuser available.",首先，選擇一艘裝有激光注入器的友方飛船。
CURRENT,blackhole_objective_tank,3239,Acquire a Storage Tank,獲得一個儲罐
CURRENT,blackhole_objective_storagetank,3239,Connect a tank to the Hyperspace Scoop,將儲罐連接到超空間收集器
CURRENT,blackhole_objective_loader,3239,Connect a Loader to the tank,將裝載器連接到儲罐
CURRENT,blackhole_objective_unloadloader,3239,Set the Loader to UNLOAD,將裝載器設置爲卸載
CURRENT,dsi_part2_dogmavessel1,3239,D.O.G.M.A Spartan,D.O.G.M.A 斯巴達人
CURRENT,dsi_part2_dogmavessel2,3239,D.O.G.M.A Citadel,D.O.G.M.A 城堡
CURRENT,dsi_part2_dogmavessel3,3239,D.O.G.M.A Centurion,D.O.G.M.A 百夫長
CURRENT,bravenewsector_part4_title,3239,"Brave New Sector, Part 4",勇敢新星區，第四部分
CURRENT,bravenewsector_part4_summary,3239,Complete the final test.,完成最終測試。
CURRENT,bravenewsector_part4_intro,3239,"Captain, preparations have concluded for the final Stargate test. We are ready to send a ship to the Andromeda Galaxy. Please call us when you are ready.",艦長，最後一次星際之門測試的準備工作已經結束。我們準備好向仙女座星系派遣飛船了。準備好後請通知我們。
CURRENT,bravenewsector_part4_call_action,3239,Call the Representative,致電代表
CURRENT,bravenewsector_part4_rep1,3239,The materials you provided to us have been fitted to the Stargate. It is fully functional and ready to test.,您提供的材料已經安裝到星際之門上。它功能齊全，可以進行測試。
CURRENT,bravenewsector_part4_rep2,3239,This is a monumental moment in the history of our species. If this test is successful the Andromeda Project will be the first entity to send mankind to another galaxy.,這是我們人類歷史上的重要時刻。如果試驗成功，仙女座計劃將成爲第一個把人類送往另一個星系的組織。
