state,key,svn,english,translation
UPDATED,tutorial_stargatewindowhighlightcomponent,3257,Each component you need to manufacture is on the right.\nPlacing your mouse over a component's icon shows how to produce it.,您需要生产的每个组件都在右侧。\n将鼠标悬停在组件图标上，即可显示该组件的生产方式。
PREVIOUS,tutorial_stargatewindowhighlightcomponent,2448,Each component you need to manufacture is on the left.\nPlacing your mouse over a component's icon shows how to produce it.,您需要生产的每个组件都在左侧。\n将鼠标悬停在组件图标上，即可显示该组件的生产方式。
CURRENT,logistics_tooltip_skiporder,3248,Skip currently executing order,跳过当前执行的订单
CURRENT,logistics_tooltip_loop,3248,Loop execution,循环执行
CURRENT,thefinalstand_artemis1,3248,Hello again Captain!,又见面了，舰长！
CURRENT,thefinalstand_artemis2,3248,"After some careful analysis of the Stargate's blueprints, I have found the backdoor that the late Alexander James Elistar has left you.",经过对星际之门蓝图的仔细分析，我找到了已故的亚历山大-詹姆斯-埃利斯塔留给你们的后门。
CURRENT,thefinalstand_artemis3,3248,You will use this backdoor to upload a small virus that I have written to their command centre within the HQ. It will disable the station's offensive capabilities and place itself under your command.,你将利用这个后门，把我编写的小病毒上传到总部的指挥中心。它将使空间站失去攻击能力，并将自己置于你的指挥之下。
CURRENT,thefinalstand_boss_artemis1,3248,"Captain, I can route a signal to their powergrid and overload their generators, tell me when to trigger it!",舰长，我可以向他们的电网发送信号，让他们的发电机过载，告诉我什么时候触发！
CURRENT,thefinalstand_end_objective_leave,3248,Leave the HQ,离开总部
CURRENT,thefinalstand_harken2,3248,"The Andromeda Project has moved their HQ and all key personell into an unknown location in the new sector, where we believe they are controlling the Stargate.",仙女座计划已将他们的总部和所有重要人员转移到新区的一个未知地点，我们相信他们在那里控制着星际之门。
CURRENT,thefinalstand_harken3,3248,"My plan is to use our fleets to take control of the HQ by force. Any and all damage to the HQ should be avoided, many innocent lives are on-board and the loss of life from destroying it would be far too great.\nI have devised a plan with an old friend of yours that should minimise casualties...",我的计划是用我们的舰队武力控制总部。应该避免对总部造成任何破坏，因为舰上有许多无辜的生命，摧毁总部会造成巨大的人员伤亡。\n，我已经和你的一位老朋友制定了一个计划，应该可以最大限度地减少人员伤亡......
CURRENT,thefinalstand_harken4,3248,"While you neutralise the HQ, my fleet will fight off the Andromeda Project navy. Once the battle is over, I will take control of the HQ and arrest everyone involved. Their conglomerate will be dismantled.",在你们消灭总部的同时，我的舰队将击退仙女座计划的海军。一旦战斗结束，我将控制总部 并逮捕所有相关人员他们的集团将被摧毁
CURRENT,thefinalstand_harken5,3248,The Stargate will fall back into your sole control. I've marked an allied shipyard on your map. I'll hide out there in the mean-time.,星际之门将重新归你控制我在你的地图上标出了一个盟军造船厂 I've marked an allied shipyard on your map.这段时间我会躲在那里 I'll hide out there in the mean time.
CURRENT,thefinalstand_harken6,3248,Meet me to discuss the plan further. Goodbye for now.,与我会面，进一步讨论计划。再见
CURRENT,thefinalstand_boss_harken2,3248,This is the Andromeda Navy's flagship! You should have access to its command centre from the HQ!,这是仙女座海军的旗舰你可以从总部进入指挥中心！
CURRENT,industryend_message,3248,"Now the Andromeda HQ has been captured, Harken and the Intergalactic Security Council will dismantle the Andromeda Project conglomerate and regain control of the Stargate, for the benefit of all mankind.  A new chapter has begun, as mankind spreads beyond our home galaxy and into the future.",现在，仙女座总部已被占领，哈肯和星际安全委员会将为了全人类的利益，摧毁仙女座计划集团，重新夺回星际之门的控制权。  新的篇章已经开启，人类将走出银河系，走向未来。
CURRENT,bravenewsector_part4_rep9,3244,Hello Captain. The newly completed Stargate has put the Andromeda Project in a powerful position to control the flow of resources and people between this galaxy and the Andromeda galaxy.,你好，舰长。新建成的星际之门使仙女座计划处于有利地位，可以控制本星系和仙女座星系之间的资源和人员流动。
CURRENT,thefinalstand_battleprep_1,3244,"Hello Captain, it's good to see you. These are all of the ships I control in this sector, the rest are on the other side of the Stargate, unable to reach us.",你好，舰长，很高兴见到你。这些是我在这个区域控制的所有飞船，其余的都在星际之门的另一端，无法联系到我们。
